,0,1,2,3,4,5,6,7,8
120,Kia,Sportage,2008,8450,185 тис. км,Стрий ( від ),"Дизель, 2 л.",Ручна / Механіка,False
121,Kia,Sorento,2012,16700,173 тис. км,Київ ( від ),"Дизель, 2.2 л.",Автомат,False
122,ЗАЗ,Vida,2014,5100,180 тис. км,Тростянець ( від ),"Бензин, 1.5 л.",Ручна / Механіка,False
123,Opel,Astra H,2008,5200,250 тис. км,Львів ( від ),"Дизель, 1.7 л.",Ручна / Механіка,False
124,Volkswagen,Touareg,2020,64800,11 тис. км,Київ ( від ),"Дизель, 3 л.",Автомат,False
125,Suzuki,Grand Vitara,2011,9800,197 тис. км,Стрий ( від ),"Бензин, 2.4 л.",Автомат,False
126,Volkswagen,Golf VI,2011,8850,190 тис. км,Стрий ( від ),"Бензин, 2.5 л.",Автомат,False
127,Mazda,CX-30,2021,32902,без пробега,Ивано-Франковск ( від ),"Гибрид, 2.0 л.",Автомат,False
128,Skoda,Octavia A5,2005,5799,210 тис. км,Ковель ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
129,Volkswagen,Touareg,2017,26300,141 тис. км,Кам'янське (Дніпродзержинськ) ( від ),"Бензин, 3.6 л.",Автомат,False
130,Mazda,3,2018,17900,15 тис. км,Київ ( від ),"Бензин, 2.5 л.",Автомат,True
131,Renault,Grand Scenic,2007,5799,227 тис. км,Ковель ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
132,Volkswagen,Touareg,2012,23500,225 тис. км,Мукачеве ( від ),"Дизель, 3 л.",Автомат,False
133,Volkswagen,Passat B6,2009,8399,236 тис. км,Дрогобич ( від ),"Дизель, 2 л.",Ручна / Механіка,False
134,Mercedes-Benz,GLS 350,2021,115000,2 тис. км,Київ ( від ),"Дизель, 2.9 л.",Автомат,False
135,Volkswagen,Touareg,2015,36500,190 тис. км,Дрогобич ( від ),Дизель,Автомат,False
136,BMW,X5,2010,17500,160 тис. км,Харків ( від ),"Бензин, 3 л.",Автомат,False
137,Renault,Megane,2010,6600,160 тис. км,Самбір ( від ),"Бензин, 1.6 л.",Ручна / Механіка,False
138,Renault,Megane,2014,10400,176 тис. км,Рівне ( від ),"Дизель, 1.5 л.",Ручна / Механіка,False
139,Jeep,Patriot,2014,9999,130 тис. км,Львів ( від ),"Газ / Бензин, 2.4 л.",Автомат,True
140,Tesla,Model S,2017,53800,69 тис. км,Київ ( від ),Електро,Автомат,True
141,Porsche,Cayenne,2016,53700,70 тис. км,Київ ( від ),"Дизель, 3 л.",Автомат,False
